year curveHighRes0461
0 2.02
0 2.033
0 2.051
0 2.098
0 2.108
0 2.146
0 2.186
0 2.213
0 2.256
0 2.283
0 2.315
0 2.346
0 2.357
0 2.366
0 2.399
0 2.423
0 2.464
0 2.485
0 2.533
0 2.568
0 2.573
0 2.574
0 2.588
0 2.611
0 2.628
0 2.662
0 2.663
0 2.7
0 2.715
0 2.744
0 2.783
0 2.821
0 2.842
0 2.864
0 2.878
0 2.919
0 2.954
0 2.962
0 2.984
0 3.022
0 3.039
0 3.042
0 3.08
0 3.13
0 3.134
0 3.164
0 3.212
0 3.229
0 3.276
0 3.319
0 3.354
0 3.357
0 3.365
0 3.375
0 3.393
0 3.423
0 3.455
0 3.474
0 3.505
0 3.526
0 3.565
0 3.695
0 3.698
0 3.719
0 3.907
0 4.036
0 4.164
0 4.349
0 4.465
0 4.57
0 4.633
0 4.675
0 4.695
0 4.883
0 4.946
0 4.947
0 5.119
0 5.218
0 5.299
0 5.402
0 5.417
0 5.458
0 5.491
0 5.527
0 5.687
0 5.847
0 5.952
0 5.832
0 5.725
0 5.652
0 5.595
0 5.539
0 5.518
0 5.484
0 5.305
0 5.091
0 5.246
0 5.431
0 5.652
0 5.71
0 5.738
0 5.836
0 6.036
0 6.043
0 6.062
0 6.233
0 6.328
0 6.437
0 6.457
0 6.532
0 6.617
0 6.673
1 2.016
1 2.032
1 2.07
1 2.114
1 2.127
1 2.154
1 2.159
1 2.199
1 2.205
1 2.25
1 2.257
1 2.305
1 2.318
1 2.342
1 2.386
1 2.391
1 2.398
1 2.414
1 2.438
1 2.466
1 2.498
1 2.517
1 2.548
1 2.559
1 2.606
1 2.61
1 2.654
1 2.676
1 2.704
1 2.74
1 2.758
1 2.769
1 2.782
1 2.802
1 2.804
1 2.841
1 2.885
1 2.894
1 2.938
1 2.968
1 2.98
1 3.004
1 3.041
1 3.044
1 3.07
1 3.088
1 3.124
1 3.155
1 3.162
1 3.193
1 3.242
1 3.276
1 3.299
1 3.305
1 3.312
1 3.338
1 3.358
1 3.365
1 3.381
1 3.398
1 3.446
1 3.668
1 3.877
1 4.016
1 4.046
1 4.076
1 4.294
1 4.389
1 4.552
1 4.642
1 4.717
1 4.904
1 5.098
1 5.13
1 5.157
1 5.17
1 5.387
1 5.508
1 5.713
1 5.906
1 6.034
1 6.177
1 6.292
1 6.388
1 6.575
1 6.61
1 6.692
1 6.522
1 6.343
1 6.214
1 6.125
1 6.028
1 5.915
1 5.811
1 5.81
1 5.786
1 5.814
1 5.988
1 6.1
1 6.239
1 6.37
1 6.522
1 6.626
1 6.696
1 6.78
1 7.012
1 7.023
1 7.19
1 7.25
1 7.449
1 7.476
1 7.569
1 7.589
1 7.6
2 2.018
2 2.02
2 2.026
2 2.027
2 2.037
2 2.045
2 2.09
2 2.127
2 2.163
2 2.163
2 2.212
2 2.231
2 2.27
2 2.301
2 2.315
2 2.326
2 2.354
2 2.377
2 2.409
2 2.428
2 2.457
2 2.466
2 2.485
2 2.52
2 2.525
2 2.572
2 2.592
2 2.627
2 2.637
2 2.667
2 2.679
2 2.716
2 2.764
2 2.803
2 2.853
2 2.854
2 2.875
2 2.917
2 2.961
2 2.975
2 3.023
2 3.052
2 3.053
2 3.08
2 3.108
2 3.144
2 3.185
2 3.216
2 3.236
2 3.257
2 3.304
2 3.315
2 3.36
2 3.405
2 3.433
2 3.474
2 3.48
2 3.487
2 3.522
2 3.55
2 3.574
2 3.582
2 3.608
2 3.609
2 3.613
2 3.846
2 3.886
2 3.969
2 4.185
2 4.205
2 4.296
2 4.444
2 4.448
2 4.584
2 4.652
2 4.738
2 4.935
2 5.016
2 5.176
2 5.226
2 5.32
2 5.323
2 5.528
2 5.614
2 5.823
2 6.033
2 6.164
2 6.186
2 6.189
2 6.212
2 6.312
2 6.524
2 6.53
2 6.501
2 6.455
2 6.413
2 6.382
2 6.365
2 6.275
2 6.077
2 5.951
2 5.943
2 5.894
2 5.928
2 6.165
2 6.302
2 6.555
2 6.755
2 6.871
2 7.025
2 7.077
2 7.091
2 7.105
2 7.344
2 7.486
2 7.635
2 7.752
2 7.844
2 7.923
2 7.958
2 7.994
3 2.024
3 2.059
3 2.085
3 2.105
3 2.122
3 2.139
3 2.163
3 2.202
3 2.246
3 2.291
3 2.32
3 2.333
3 2.346
3 2.368
3 2.4
3 2.435
3 2.481
3 2.53
3 2.53
3 2.537
3 2.567
3 2.569
3 2.603
3 2.647
3 2.651
3 2.687
3 2.721
