year curveHighRes0521
0 2.047
0 2.076
0 2.099
0 2.106
0 2.111
0 2.135
0 2.18
0 2.203
0 2.239
0 2.277
0 2.322
0 2.362
0 2.367
0 2.417
0 2.463
0 2.466
0 2.493
0 2.53
0 2.553
0 2.571
0 2.618
0 2.665
0 2.703
0 2.737
0 2.745
0 2.786
0 2.788
0 2.832
0 2.854
0 2.859
0 2.862
0 2.862
0 2.874
0 2.888
0 2.936
0 2.947
0 2.994
0 3.005
0 3.026
0 3.062
0 3.089
0 3.108
0 3.108
0 3.156
0 3.177
0 3.196
0 3.21
0 3.22
0 3.229
0 3.246
0 3.291
0 3.301
0 3.326
0 3.36
0 3.37
0 3.397
0 3.411
0 3.432
0 3.467
0 3.512
0 3.641
0 3.679
0 3.809
0 3.823
0 3.897
0 4.051
0 4.205
0 4.334
0 4.539
0 4.683
0 4.84
0 5.032
0 5.214
0 5.318
0 5.532
0 5.626
0 5.729
0 5.812
0 5.839
0 5.861
0 6.015
0 6.092
0 6.2
0 6.346
0 6.295
0 6.11
0 5.915
0 5.786
0 5.67
0 5.601
0 5.472
0 5.253
0 5.164
0 5.323
0 5.53
0 5.681
0 5.907
0 6.064
0 6.249
0 6.459
0 6.682
0 6.814
0 6.938
0 6.983
0 7.206
0 7.328
0 7.369
0 7.477
0 7.556
1 2.006
1 2.027
1 2.046
1 2.093
1 2.12
1 2.145
1 2.166
1 2.193
1 2.233
1 2.254
1 2.294
1 2.311
1 2.311
1 2.346
1 2.36
1 2.391
1 2.435
1 2.452
1 2.475
1 2.495
1 2.533
1 2.535
1 2.54
1 2.576
1 2.625
1 2.664
1 2.68
1 2.701
1 2.709
1 2.734
1 2.74
1 2.758
1 2.789
1 2.803
1 2.813
1 2.861
1 2.907
1 2.955
1 2.994
1 3.016
1 3.025
1 3.075
1 3.11
1 3.138
1 3.174
1 3.178
1 3.195
1 3.218
1 3.245
1 3.251
1 3.261
1 3.286
1 3.31
1 3.356
1 3.368
1 3.409
1 3.424
1 3.462
1 3.506
1 3.529
1 3.557
1 3.565
1 3.593
1 3.597
1 3.798
1 3.971
1 4.179
1 4.21
1 4.352
1 4.416
1 4.461
1 4.56
1 4.6
1 4.667
1 4.705
1 4.743
1 4.845
1 4.89
1 5.06
1 5.14
1 5.172
1 5.218
1 5.312
1 5.36
1 5.53
1 5.665
1 5.876
1 6.016
1 6.05
1 6.061
1 6.053
1 5.996
1 5.969
1 5.757
1 5.656
1 5.547
1 5.358
1 5.272
1 5.202
1 5.195
1 5.268
1 5.384
1 5.537
1 5.577
1 5.615
1 5.637
1 5.773
1 5.914
1 6.124
1 6.244
1 6.37
1 6.463
1 6.587
1 6.686
1 6.775
1 6.886
1 6.923
1 6.946
2 2.047
2 2.076
2 2.124
2 2.142
2 2.149
2 2.178
2 2.206
2 2.23
2 2.259
2 2.272
2 2.297
2 2.318
2 2.332
2 2.362
2 2.399
2 2.428
2 2.459
2 2.496
2 2.518
2 2.54
2 2.548
2 2.556
2 2.588
2 2.606
2 2.629
2 2.676
2 2.711
2 2.732
2 2.753
2 2.766
2 2.795
2 2.831
2 2.881
2 2.898
2 2.944
2 2.961
2 2.983
2 3.01
2 3.05
2 3.052
2 3.073
2 3.114
2 3.136
2 3.157
2 3.168
2 3.206
2 3.212
2 3.244
2 3.267
2 3.286
2 3.298
2 3.328
2 3.371
2 3.392
2 3.404
2 3.43
2 3.444
2 3.448
2 3.473
2 3.508
2 3.546
2 3.582
2 3.604
2 3.676
2 3.845
2 3.966
2 4.097
2 4.258
2 4.395
2 4.477
2 4.678
2 4.832
2 4.995
2 5.039
2 5.096
2 5.286
2 5.38
2 5.426
2 5.547
2 5.585
2 5.715
2 5.804
2 5.966
2 5.996
2 6.195
2 6.275
2 6.305
2 6.325
2 6.254
2 6.175
2 6.05
2 5.918
2 5.82
2 5.669
2 5.601
2 5.423
2 5.369
2 5.457
2 5.503
2 5.533
2 5.563
2 5.637
2 5.655
2 5.659
2 5.899
