year curveHighRes0481
0 2.05
0 2.089
0 2.1
0 2.131
0 2.132
0 2.181
0 2.226
0 2.257
0 2.304
0 2.331
0 2.366
0 2.392
0 2.401
0 2.404
0 2.416
0 2.439
0 2.454
0 2.49
0 2.491
0 2.505
0 2.54
0 2.564
0 2.604
0 2.606
0 2.655
0 2.665
0 2.677
0 2.7
0 2.715
0 2.755
0 2.78
0 2.805
0 2.829
0 2.852
0 2.858
0 2.867
0 2.902
0 2.93
0 2.961
0 2.967
0 3.001
0 3.028
0 3.042
0 3.066
0 3.082
0 3.091
0 3.101
0 3.104
0 3.109
0 3.123
0 3.136
0 3.152
0 3.193
0 3.242
0 3.289
0 3.338
0 3.384
0 3.41
0 3.429
0 3.448
0 3.479
0 3.49
0 3.531
0 3.533
0 3.798
0 3.815
0 4.028
0 4.121
0 4.305
0 4.414
0 4.623
0 4.832
0 5.021
0 5.206
0 5.338
0 5.399
0 5.436
0 5.627
0 5.66
0 5.811
0 5.914
0 5.989
0 6.19
0 6.376
0 6.423
0 6.572
0 6.659
0 6.796
0 6.883
0 6.926
0 6.76
0 6.729
0 6.518
0 6.396
0 6.329
0 6.243
0 6.044
0 6.036
0 5.881
0 6.085
0 6.168
0 6.355
0 6.569
0 6.649
0 6.656
0 6.78
0 6.856
0 6.937
0 6.968
0 6.995
0 7.073
0 7.122
0 7.255
0 7.279
0 7.282
0 7.479
0 7.514
0 7.52
0 7.525
1 2.048
1 2.095
1 2.101
1 2.128
1 2.145
1 2.187
1 2.224
1 2.255
1 2.285
1 2.31
1 2.338
1 2.356
1 2.363
1 2.364
1 2.368
1 2.382
1 2.386
1 2.404
1 2.45
1 2.455
1 2.489
1 2.532
1 2.58
1 2.611
1 2.625
1 2.642
1 2.658
1 2.691
1 2.709
1 2.731
1 2.732
1 2.755
1 2.78
1 2.817
1 2.86
1 2.904
1 2.913
1 2.962
1 2.975
1 3.01
1 3.022
1 3.06
1 3.102
1 3.105
1 3.132
1 3.175
1 3.214
1 3.235
1 3.238
1 3.241
1 3.241
1 3.244
1 3.29
1 3.338
1 3.384
1 3.396
1 3.422
1 3.464
1 3.513
1 3.525
1 3.568
1 3.592
1 3.715
1 3.763
1 3.958
1 4.067
1 4.224
1 4.334
1 4.489
1 4.627
1 4.846
1 5.05
1 5.174
1 5.29
1 5.446
1 5.572
1 5.614
1 5.724
1 5.781
1 5.988
1 6.029
1 6.243
1 6.396
1 6.467
1 6.562
1 6.775
1 6.909
1 6.928
1 6.762
1 6.746
1 6.696
1 6.597
1 6.467
1 6.267
1 6.049
1 5.916
1 5.743
1 5.771
1 5.801
1 5.856
1 5.985
1 6.227
1 6.392
1 6.509
1 6.586
1 6.695
1 6.915
1 7.031
1 7.174
1 7.407
1 7.547
1 7.781
1 7.963
1 8.042
1 8.072
2 2.039
2 2.051
2 2.081
2 2.103
2 2.126
2 2.159
2 2.191
2 2.226
2 2.232
2 2.233
2 2.283
2 2.307
2 2.313
2 2.347
2 2.371
2 2.378
2 2.379
2 2.414
2 2.463
2 2.508
2 2.543
2 2.565
2 2.608
2 2.615
2 2.659
2 2.677
2 2.715
2 2.735
2 2.739
2 2.748
2 2.756
2 2.8
2 2.828
2 2.874
2 2.898
2 2.947
2 2.969
2 2.978
2 3.014
2 3.047
2 3.06
2 3.082
2 3.087
2 3.114
2 3.146
2 3.167
2 3.176
2 3.205
2 3.215
2 3.244
2 3.245
2 3.249
2 3.271
2 3.302
2 3.337
2 3.387
2 3.404
2 3.413
2 3.457
2 3.472
2 3.489
2 3.502
2 3.513
2 3.515
2 3.733
2 3.858
2 3.873
2 4.075
2 4.179
2 4.291
2 4.464
2 4.634
2 4.652
2 4.789
2 4.986
2 5.049
2 5.239
2 5.329
2 5.344
2 5.411
2 5.62
2 5.778
2 5.958
2 6.039
2 6.101
2 6.136
2 6.339
2 6.364
2 6.425
2 6.528
2 6.643
2 6.62
2 6.586
2 6.542
2 6.387
2 6.38
2 6.237
2 6.117
2 6.045
2 5.973
2 5.875
2 5.941
2 6.006
2 6.155
2 6.281
2 6.361
2 6.439
2 6.465
2 6.549
2 6.592
2 6.657
2 6.668
2 6.799
2 6.867
2 6.922
2 7.014
2 7.051
2 7.086
3 2.036
3 2.041
3 2.05
3 2.057
3 2.068
3 2.112
3 2.155
3 2.188
3 2.234
3 2.276
3 2.32
3 2.341
3 2.382
3 2.386
3 2.408
3 2.445
3 2.461
3 2.469
3 2.499
3 2.52
3 2.568
3 2.576
3 2.595
3 2.643
3 2.689
3 2.696
3 2.741
3 2.759
3 2.779
3 2.825
3 2.831
3 2.848
3 2.867
3 2.881
3 2.928
3 2.933
3 2.96
3 2.963
3 2.973
3 3.01
3 3.029
3 3.032
3 3.041
3 3.085
3 3.097
3 3.131
3 3.15
3 3.189
3 3.23
3 3.258
3 3.266
3 3.267
3 3.293
3 3.299
3 3.343
3 3.38
3 3.385
3 3.399
3 3.414
3 3.422
3 3.452
3 3.491
3 3.518
3 3.678
3 3.785
3 3.92
3 4.126
3 4.305
3 4.4
3 4.521
3 4.626
3 4.842
3 4.909
3 5.117
3 5.237
3 5.262
3 5.331
3 5.538
3 5.634
3 5.745
3 5.752
3 5.849
3 5.953
3 6.148
3 6.194
3 6.393
3 6.576
3 6.773
3 6.774
3 6.775
3 6.73
3 6.692
3 6.551
3 6.447
3 6.312
3 6.264
3 6.072
3 5.9
3 5.709
3 5.648
3 5.505
3 5.676
3 5.834
3 5.982
3 6.22
3 6.318
3 6.355
3 6.504
3 6.756
3 6.825
3 7.009
3 7.176
3 7.31
3 7.537
3 7.65
3 7.681
3 7.711
3 7.717
4 2.046
4 2.087
4 2.113
4 2.119
4 2.158
4 2.174
4 2.222
4 2.245
4 2.259
4 2.271
4 2.289
4 2.303
4 2.334
4 2.345
4 2.38
4 2.381
4 2.39
4 2.409
4 2.44
4 2.462
4 2.465
4 2.473
4 2.485
4 2.501
4 2.51
4 2.549
4 2.567
4 2.586
4 2.611
4 2.624
4 2.652
4 2.654
4 2.689
4 2.737
4 2.75
4 2.755
4 2.801
4 2.81
4 2.841
4 2.87
4 2.885
4 2.904
4 2.923
4 2.933
4 2.957
4 2.995
4 3.043
4 3.074
4 3.119
4 3.156
4 3.201
4 3.25
4 3.263
4 3.28
4 3.291
4 3.325
4 3.352
4 3.374
4 3.382
4 3.4
4 3.443
4 3.467
4 3.502
4 3.514
4 3.554
4 3.661
4 3.788
4 4.001
4 4.007
4 4.214
4 4.323
4 4.431
4 4.596
4 4.609
4 4.669
4 4.852
4 5.001
4 5.086
4 5.162
4 5.291
4 5.363
4 5.483
4 5.588
4 5.672
4 5.869
4 5.891
4 5.982
4 6.04
4 6.081
4 5.983
4 5.895
4 5.795
4 5.743
4 5.648
4 5.596
4 5.57
4 5.526
4 5.461
4 5.566
4 5.734
4 5.892
4 6.134
4 6.35
4 6.609
4 6.708
4 6.759
4 6.914
4 7.012
4 7.131
4 7.268
4 7.461
4 7.483
4 7.51
4 7.754
5 2.049
5 2.098
5 2.108
5 2.129
5 2.158
5 2.2
5 2.204
5 2.22
5 2.256
5 2.276
5 2.3
5 2.328
5 2.355
5 2.395
5 2.435
5 2.484
5 2.513
5 2.518
5 2.538
5 2.576
5 2.603
5 2.614
5 2.649
5 2.655
5 2.673
5 2.71
5 2.759
5 2.79
5 2.795
