year curveLowRes0131
0 2.044
0 2.264
0 2.547
0 2.791
0 3.12
0 3.295
0 3.855
0 4.985
0 5.886
0 5.07
0 6.241
1 2.004
1 2.291
1 2.595
1 2.84
1 3.214
1 3.496
1 4.653
1 6.37
1 6.453
1 6.957
2 2.031
2 2.382
2 2.558
2 2.833
2 3.158
2 3.517
2 4.13
2 5.812
2 5.761
2 6.679
3 2.03
3 2.26
3 2.589
3 2.974
3 3.313
3 3.532
3 4.455
3 5.387
3 5.578
3 6.676
4 2.018
4 2.311
4 2.598
4 2.889
4 3.205
4 3.643
4 5.671
4 7.03
4 5.86
4 7.518
5 2.024
5 2.376
5 2.713
5 3.045
5 3.336
5 3.681
5 4.796
5 5.955
5 6.217
5 7.151
6 2.026
6 2.304
6 2.561
6 2.878
6 3.114
6 3.417
6 4.224
6 5.695
6 6.698
6 6.318
6 8.295
7 2.017
7 2.412
7 2.751
7 2.969
7 3.246
7 3.517
7 4.45
7 5.84
7 6.276
7 6.267
7 7.807
8 2.04
8 2.342
8 2.612
8 2.859
8 3.064
8 3.372
8 4.685
8 5.974
8 5.345
8 7.128
9 2.047
9 2.233
9 2.547
9 2.868
9 3.154
9 3.45
9 4.335
9 5.358
9 5.635
9 6.147
9 7.592
10 2.045
10 2.417
10 2.794
10 3.107
10 3.388
10 3.695
10 4.789
10 6.209
10 5.301
10 6.079
11 2.024
11 2.317
11 2.611
11 2.883
11 3.212
11 3.612
11 4.66
11 5.633
11 6.059
11 5.967
12 2.005
12 2.325
12 2.6
12 2.743
12 2.898
12 3.263
12 3.833
12 4.936
12 6.097
12 4.882
12 6.106
13 2.044
13 2.461
13 2.746
13 3.103
13 3.391
13 3.62
13 5.269
13 6.655
13 6.01
13 7.598
14 2.013
14 2.233
14 2.516
14 2.824
14 3.089
14 3.311
14 3.998
14 5.398
14 6.068
14 6.102
14 7.418
15 2.039
15 2.28
15 2.586
15 2.802
15 3.114
15 3.444
15 4.179
15 5.43
15 5.892
15 6.14
16 2.047
16 2.324
16 2.718
16 3.017
16 3.161
16 3.457
