year curveLowRes0211
0 2.031
0 2.336
0 2.597
0 2.943
0 3.227
0 3.525
0 4.384
0 5.606
0 6.226
0 6.291
0 7.991
1 2.008
1 2.349
1 2.589
1 2.841
1 3.169
1 3.455
1 4.069
1 5.252
1 6.28
1 5.603
1 7.18
2 2.024
2 2.332
2 2.666
2 2.94
2 3.221
2 3.591
2 4.424
2 5.694
2 5.365
2 6.608
3 2.029
3 2.327
3 2.616
3 2.881
3 3.209
3 3.522
3 4.337
3 5.163
3 5.422
3 5.067
3 6.339
4 2.009
4 2.245
4 2.496
4 2.818
4 3.069
4 3.342
4 4.615
4 5.884
4 5.896
4 6.494
5 2.005
5 2.289
5 2.531
5 2.897
5 3.182
5 3.435
5 4.373
5 5.789
5 6.081
5 6.697
5 8.147
6 2.034
6 2.316
6 2.539
6 2.923
6 3.281
6 3.562
6 4.869
6 6.181
6 5.513
6 7.035
7 2.027
7 2.231
7 2.501
7 2.823
7 3.081
7 3.379
7 3.946
7 5.25
7 5.977
7 5.173
7 6.424
8 2.03
8 2.302
8 2.478
8 2.741
8 2.947
8 3.197
8 3.752
8 5.085
8 6.119
8 5.692
8 6.832
9 2.015
9 2.317
9 2.629
9 2.932
9 3.22
9 3.524
9 4.707
9 5.863
9 5.685
9 6.701
10 2.01
10 2.263
10 2.61
10 2.792
10 3.077
10 3.319
10 4.46
10 5.695
10 5.79
10 5.215
10 7.177
11 2.022
11 2.268
11 2.537
11 2.743
11 3.038
11 3.287
11 4.176
11 5.73
11 6.312
11 6.533
11 8.125
12 2.013
12 2.373
12 2.576
12 2.963
12 3.281
12 3.426
12 4.746
12 6.22
12 6.052
12 6.943
13 2.018
13 2.213
13 2.579
13 2.835
13 3.149
13 3.436
13 4.36
13 5.607
13 5.648
13 6.784
14 2.044
14 2.421
14 2.634
14 2.911
14 3.206
14 3.582
14 5.028
14 6.267
14 6.547
14 7.163
15 2.021
15 2.505
15 2.741
15 3.074
15 3.363
15 3.77
15 4.909
15 6.458
15 6.5
15 7.172
16 2.001
16 2.251
16 2.44
16 2.748
16 2.976
16 3.239
16 4.194
16 5.231
16 5.934
16 5.599
16 6.859
17 2.044
17 2.263
17 2.589
17 2.865
17 3.092
17 3.397
17 4.548
17 5.98
17 6.093
17 6.816
18 2.048
18 2.32
18 2.635
18 2.935
18 3.183
18 3.512
18 4.217
18 5.591
18 6.222
18 5.563
18 7.185
19 2.022
19 2.392
19 2.68
19 2.962
19 3.274
19 3.581
19 4.327
19 5.622
19 5.717
19 5.729
20 2.021
20 2.289
20 2.598
20 2.908
20 3.245
20 3.513
20 4.041
20 5.211
20 5.966
20 5.71
20 7.301
21 2.034
21 2.33
21 2.632
21 2.811
21 3.127
21 3.522
21 4.198
21 5.539
21 6.51
21 5.876
21 7.895
22 2.021
22 2.319
22 2.615
22 2.9
22 3.191
22 3.423
22 4.514
22 5.688
22 6.834
22 6.421
22 8.172
23 2.028
