year curveLowRes0261
0 2.048
0 2.247
0 2.567
0 2.875
0 3.155
0 3.591
0 4.445
0 5.701
0 5.343
0 6.647
1 2.046
1 2.309
1 2.522
1 2.828
1 3.094
1 3.418
1 4.805
1 6.089
1 6.14
1 6.761
2 2.006
2 2.312
2 2.603
2 2.913
2 3.117
2 3.388
2 3.866
2 5.206
2 6.41
2 5.76
2 7.215
3 2.021
3 2.319
3 2.584
3 2.885
3 3.131
3 3.469
3 4.926
3 6.068
3 6.004
3 6.457
3 7.781
4 2.033
4 2.331
4 2.549
4 2.828
4 3.117
4 3.437
4 3.941
4 5.366
4 5.783
4 5.572
4 6.883
5 2.014
5 2.275
5 2.551
5 2.803
5 3.029
5 3.241
5 4.244
5 5.317
5 6.011
5 6.229
5 7.843
6 2.049
6 2.312
6 2.626
6 2.871
6 3.189
6 3.479
6 4.101
6 5.418
6 6.293
6 5.986
6 7.501
7 2.039
7 2.367
7 2.635
7 2.968
7 3.282
7 3.701
7 4.89
7 6.252
7 6.29
7 6.828
8 2.019
8 2.269
8 2.681
8 2.953
8 3.349
8 3.691
8 5.013
8 6.197
8 6.324
8 6.858
9 2.014
9 2.335
9 2.627
9 2.93
9 3.211
9 3.51
9 4.081
9 5.463
9 6.882
9 6.182
9 7.594
10 2.043
10 2.327
10 2.609
10 2.872
10 3.261
10 3.56
10 4.624
10 5.901
10 6.667
10 6.904
10 8.035
11 2.036
11 2.377
11 2.6
11 3.012
11 3.353
11 3.608
11 4.502
11 5.296
11 4.159
11 5.503
12 2.043
12 2.421
12 2.715
12 3.109
12 3.354
12 3.698
12 4.777
12 6.168
12 5.872
12 6.53
13 2.023
13 2.338
13 2.556
13 2.854
13 3.27
13 3.517
13 4.559
13 5.8
13 5.988
13 6.661
14 2.025
14 2.309
14 2.584
14 2.883
14 3.166
14 3.511
14 5.244
14 6.245
14 5.581
14 6.592
15 2.031
15 2.369
15 2.636
15 2.936
15 3.203
15 3.469
15 4.764
15 6.104
15 5.409
15 7.168
16 2.017
16 2.342
16 2.619
16 2.931
16 3.198
16 3.516
16 4.63
16 6.047
16 6.595
16 6.654
16 7.982
17 2.046
17 2.359
17 2.64
17 2.925
17 3.145
17 3.404
17 4.1
17 5.375
17 6.275
17 5.818
17 7.178
18 2.014
18 2.318
18 2.583
18 2.84
18 3.137
18 3.388
18 4.546
18 5.979
18 5.616
18 7.556
19 2.032
19 2.369
19 2.652
19 2.95
19 3.214
19 3.57
19 4.849
19 6.297
19 6.191
19 6.912
20 2.049
20 2.26
20 2.543
20 2.804
20 3.145
20 3.39
20 4.158
20 5.521
20 6.718
20 6.315
20 7.616
21 2.032
