year curveLowRes0271
0 2.044
0 2.366
0 2.626
0 2.928
0 3.322
0 3.543
0 4.308
0 5.65
0 6.055
0 5.753
0 6.959
1 2.046
1 2.433
1 2.729
1 3.053
1 3.354
1 3.65
1 4.577
1 6.073
1 6.329
1 6.262
1 7.787
2 2.043
2 2.294
2 2.652
2 2.914
2 3.249
2 3.641
2 4.828
2 6.054
2 5.637
2 6.849
3 2.008
3 2.322
3 2.625
3 2.977
3 3.357
3 3.744
3 4.904
3 5.764
3 6.085
3 6.378
4 2.038
4 2.366
4 2.655
4 2.909
4 3.238
4 3.525
4 4.445
4 6.117
4 5.644
4 6.777
5 2.006
5 2.236
5 2.594
5 2.894
5 3.296
5 3.509
5 4.946
5 6.395
5 5.467
5 7.206
6 2.011
6 2.3
6 2.643
6 2.962
6 3.283
6 3.575
6 4.47
6 5.338
6 4.787
6 5.09
7 2.002
7 2.34
7 2.618
7 2.849
7 3.131
7 3.445
7 4.462
7 5.779
7 5.325
7 6.8
8 2.031
8 2.321
8 2.544
8 2.798
8 3.111
8 3.364
8 4.198
8 5.584
8 5.931
8 5.143
8 6.857
9 2.035
9 2.286
9 2.527
9 2.781
9 3.142
9 3.458
9 5.211
9 6.679
9 6.6
9 7.533
10 2.032
10 2.39
10 2.609
10 2.916
10 3.206
10 3.522
10 4.56
10 5.862
10 5.579
10 6.242
11 2.023
11 2.255
11 2.601
11 2.858
11 3.221
11 3.518
11 4.27
11 5.44
11 5.825
11 6.214
12 2.002
12 2.369
12 2.625
12 2.97
12 3.345
12 3.615
12 4.369
12 5.922
12 6.39
12 6.384
13 2.007
13 2.384
13 2.646
13 2.935
13 3.115
13 3.414
13 4.615
13 5.9
13 6.675
13 6.576
14 2.018
14 2.238
14 2.627
14 2.883
14 3.196
14 3.465
14 4.429
14 5.762
14 5.505
14 6.401
15 2.044
15 2.363
15 2.576
15 2.846
15 3.17
15 3.538
15 4.437
15 5.938
15 5.616
15 7.303
16 2.022
16 2.285
16 2.533
16 2.827
16 3.149
16 3.443
16 4.15
16 5.109
16 5.153
16 4.864
16 6.45
17 2.019
17 2.365
17 2.638
17 2.955
17 3.208
17 3.502
17 4.635
17 6.127
17 5.627
17 6.544
18 2.001
18 2.261
18 2.505
18 2.722
18 3.04
18 3.35
18 4.456
18 5.771
18 5.71
18 7.264
19 2.028
19 2.367
19 2.765
19 3.021
19 3.268
19 3.64
19 4.199
19 5.366
19 6.876
19 5.927
19 7.461
20 2.007
20 2.331
20 2.514
20 2.79
20 3.072
20 3.378
20 4.521
20 6.04
20 5.068
20 6.568
21 2.027
21 2.308
21 2.56
21 2.888
21 3.095
21 3.355
21 4.581
21 5.995
21 5.667
21 6.706
22 2.022
22 2.221
22 2.532
22 2.748
22 3.073
22 3.346
22 4.681
22 5.9
22 5.33
22 6.713
23 2.047
23 2.284
23 2.641
23 3.002
23 3.239
23 3.569
23 4.597
23 6.107
23 5.208
23 6.47
24 2.011
24 2.336
24 2.572
24 2.789
24 3.117
24 3.482
24 4.624
24 5.841
24 6.259
24 6.257
24 7.866
25 2.041
25 2.336
25 2.662
25 2.908
25 3.171
25 3.483
25 4.861
25 6.434
25 5.496
25 6.892
26 2.035
26 2.303
26 2.59
26 2.831
26 3.09
26 3.339
26 4.195
26 5.457
26 6.248
26 5.617
26 7.417
27 2.022
27 2.229
27 2.552
27 2.877
27 3.216
27 3.517
27 4.53
27 5.651
27 6.165
27 5.803
27 7.531
28 2.035
28 2.396
28 2.623
28 2.967
28 3.368
28 3.726
28 4.944
28 6.237
28 6.066
28 7.083
29 2.001
29 2.362
29 2.655
29 2.954
29 3.268
29 3.619
29 4.752
29 6.102
29 6.174
29 6.56
30 2.015
30 2.338
30 2.769
30 3.045
30 3.385
30 3.73
30 4.936
30 6.379
30 6.192
30 6.51
31 2.024
31 2.277
31 2.529
31 2.816
31 3.094
31 3.449
31 5.113
31 6.834
31 6.656
31 7.127
32 2.01
32 2.26
32 2.553
32 2.829
32 3.071
32 3.306
32 4.099
32 5.059
32 5.888
32 5.529
32 7.016
33 2.017
33 2.347
33 2.667
33 2.922
33 3.203
33 3.496
33 4.817
33 6.183
33 5.908
33 7.256
34 2.009
34 2.195
34 2.412
34 2.616
34 2.895
34 3.175
34 3.82
34 5.33
34 5.879
34 5.444
34 6.823
35 2.03
35 2.334
35 2.606
35 2.9
35 3.172
35 3.374
35 4.208
35 5.474
35 6.063
35 5.894
35 7.154
36 2.015
36 2.336
36 2.532
36 2.824
36 3.038
36 3.309
36 4.301
36 5.438
36 5.236
36 5.904
37 2.03
37 2.395
37 2.712
37 2.978
37 3.358
37 3.637
37 5.286
37 6.44
37 6.004
37 7.247
38 2.039
38 2.319
38 2.584
38 2.864
38 3.149
38 3.491
38 4.908
38 6.41
38 6.277
38 7.245
39 2.048
39 2.38
39 2.656
39 2.912
39 3.171
39 3.513
39 4.036
39 5.229
39 6.144
39 5.464
39 6.832
40 2.004
40 2.35
40 2.628
40 2.89
40 3.137
40 3.417
40 4.567
40 5.591
40 5.738
40 6.184
41 2.02
41 2.273
41 2.526
41 2.809
41 3.028
41 3.373
41 4.376
41 5.605
41 6.133
41 6.618
41 8.01
42 2.04
42 2.317
42 2.627
42 2.938
42 3.157
42 3.406
42 4.431
42 6.123
42 6.572
42 5.878
42 7.294
43 2.036
43 2.309
43 2.539
43 2.887
43 3.122
43 3.434
43 4.21
43 5.271
43 5.973
43 6.026
43 7.584
44 2.034
44 2.311
44 2.704
44 3.014
44 3.359
44 3.664
44 4.517
44 6.026
44 6.199
44 5.826
44 7.056
45 2.028
45 2.34
45 2.577
45 2.835
45 3.102
45 3.321
45 3.906
45 5.275
45 5.756
45 5.884
45 7.505
46 2.015
46 2.359
46 2.658
46 2.946
46 3.242
46 3.623
46 4.345
46 5.389
46 5.8
46 6.557
47 2.033
47 2.358
47 2.667
47 2.849
47 3.006
47 3.291
47 4.686
47 6.041
47 5.729
47 7.061
48 2.026
48 2.231
48 2.584
48 2.884
48 3.168
48 3.425
48 4.479
48 6.001
48 6.212
48 6.202
49 2.033
49 2.361
49 2.714
49 2.939
49 3.321
49 3.625
49 4.62
49 6.086
49 5.52
49 6.507
50 2.007
50 2.206
50 2.43
50 2.696
50 2.963
50 3.201
50 3.818
50 4.845
50 6.105
50 5.061
50 5.99
51 2.019
51 2.431
51 2.772
51 3.007
51 3.369
51 3.528
51 4.356
51 5.674
51 6.083
51 6.051
51 7.535
52 2.025
52 2.384
52 2.689
52 3.011
52 3.332
52 3.625
52 4.866
52 6.036
52 5.458
52 7.011
53 2.037
53 2.328
53 2.658
53 2.912
53 3.262
53 3.513
53 4.658
53 5.877
53 5.969
53 6.716
53 8.062
54 2.011
54 2.326
54 2.69
54 3.043
54 3.286
54 3.634
54 4.583
54 6.156
54 6.167
54 7.108
55 2.001
55 2.167
55 2.585
55 2.822
55 3.057
55 3.344
55 3.95
55 5.216
55 6.171
55 6.073
55 7.47
56 2.036
56 2.321
56 2.602
56 2.805
56 3.11
56 3.316
56 3.858
56 4.902
56 5.12
56 5.529
56 6.652
57 2.02
57 2.301
57 2.499
57 2.722
57 3.049
57 3.345
57 4.391
57 5.788
57 6.524
57 6.913
58 2.024
58 2.355
58 2.657
58 3.02
58 3.343
58 3.777
58 5.186
58 6.096
58 5.493
58 6.911
59 2.004
59 2.219
59 2.501
59 2.814
59 3.102
59 3.438
59 4.556
59 5.931
59 5.862
59 6.186
60 2.018
60 2.238
60 2.491
60 2.803
60 3.078
60 3.335
60 3.92
60 4.831
60 5.704
60 6.0
60 7.828
61 2.027
61 2.249
61 2.487
61 2.726
61 3.033
61 3.358
61 3.96
61 5.192
61 5.711
61 5.159
61 6.888
62 2.027
62 2.309
62 2.632
62 2.95
62 3.221
62 3.624
62 4.574
62 5.669
62 5.552
62 6.831
63 2.022
63 2.296
63 2.573
63 2.885
63 3.145
63 3.457
63 4.937
63 6.322
63 5.805
63 7.279
64 2.04
64 2.282
64 2.629
64 2.997
64 3.237
64 3.537
64 4.44
64 5.971
64 6.552
64 6.621
65 2.029
65 2.284
65 2.598
65 2.892
65 3.187
65 3.489
65 4.009
65 5.151
65 6.168
65 5.711
65 6.873
66 2.002
66 2.357
66 2.558
66 2.795
66 3.082
66 3.378
66 4.687
66 6.09
66 5.753
66 6.628
67 2.004
67 2.291
67 2.574
67 2.872
67 3.164
67 3.372
67 4.024
67 5.404
67 6.659
67 6.135
67 7.154
68 2.003
68 2.28
68 2.471
68 2.766
68 3.042
68 3.359
68 4.266
68 5.295
68 5.839
68 5.892
69 2.002
69 2.256
69 2.577
69 2.821
69 3.144
69 3.367
69 4.686
69 6.115
69 6.022
69 6.527
70 2.043
70 2.365
70 2.66
70 2.915
70 3.198
70 3.661
70 4.925
70 6.405
70 5.615
70 6.632
71 2.039
71 2.32
71 2.668
71 2.934
71 3.176
71 3.564
71 4.37
71 5.917
71 5.862
71 7.131
