year curveLowRes0571
0 2.035
0 2.321
0 2.662
0 2.964
0 3.276
0 3.604
0 4.932
0 6.164
0 5.8
0 6.668
1 2.047
1 2.391
1 2.613
1 2.929
1 3.159
1 3.513
1 4.801
1 5.946
1 5.284
1 6.991
2 2.023
2 2.307
2 2.563
2 2.748
2 3.051
2 3.351
2 4.619
2 5.808
2 5.242
2 6.244
3 2.047
3 2.349
3 2.653
3 3.01
3 3.288
3 3.601
3 4.987
3 6.533
3 5.97
3 7.013
4 2.033
4 2.397
4 2.737
4 3.034
4 3.331
4 3.682
4 4.994
4 6.058
4 5.47
4 6.871
5 2.046
5 2.204
5 2.419
5 2.678
5 2.889
5 3.13
5 3.729
5 4.983
5 5.919
5 5.291
5 6.968
6 2.019
6 2.287
6 2.524
6 2.835
6 3.104
6 3.427
6 4.442
6 5.665
6 5.769
6 5.815
6 6.561
7 2.036
7 2.276
7 2.536
7 2.748
7 3.039
7 3.323
7 4.417
7 5.63
7 5.975
7 6.315
8 2.024
8 2.22
8 2.494
8 2.813
8 3.103
8 3.435
8 4.426
8 5.453
8 5.022
8 6.758
9 2.02
9 2.329
9 2.627
9 2.932
9 3.172
9 3.458
9 4.165
9 5.403
9 4.734
9 6.096
10 2.015
10 2.389
10 2.623
10 2.957
10 3.135
10 3.518
10 4.859
10 6.579
10 6.076
10 6.409
11 2.005
11 2.306
11 2.589
11 2.761
11 3.035
11 3.349
11 4.138
11 5.355
11 6.234
11 6.471
11 7.731
12 2.023
12 2.281
12 2.67
12 2.964
12 3.276
12 3.685
12 4.63
12 5.991
12 5.376
12 6.199
13 2.027
13 2.276
13 2.565
13 2.896
13 3.125
13 3.415
13 4.698
13 6.108
13 5.545
13 6.665
14 2.011
14 2.371
14 2.74
14 3.056
14 3.32
14 3.742
14 5.02
14 5.954
14 5.408
14 5.809
15 2.024
15 2.303
15 2.607
15 2.926
15 3.289
15 3.642
15 4.855
15 5.73
15 5.711
15 6.572
16 2.01
16 2.368
16 2.623
16 2.848
16 3.143
16 3.501
16 4.603
16 6.425
16 6.37
16 7.662
17 2.035
17 2.385
17 2.731
17 3.093
17 3.466
17 3.762
17 5.113
17 6.359
17 6.009
17 7.165
18 2.03
18 2.289
18 2.599
18 2.926
18 3.154
18 3.513
18 5.011
18 6.441
18 5.733
18 6.787
19 2.038
19 2.328
19 2.695
19 3.052
19 3.408
19 3.706
19 4.99
19 6.044
19 6.678
19 6.687
20 2.019
20 2.249
20 2.521
20 2.815
20 3.047
20 3.267
20 4.148
20 5.326
20 6.007
20 6.182
21 2.023
21 2.278
21 2.522
21 2.769
21 2.976
21 3.247
21 3.918
21 4.635
21 5.298
21 4.963
21 6.369
22 2.018
22 2.244
22 2.508
22 2.795
22 3.053
22 3.322
22 4.09
22 5.511
22 6.533
22 6.131
22 7.496
23 2.044
23 2.292
23 2.618
23 2.954
23 3.228
23 3.461
23 4.134
23 5.24
23 6.231
23 6.327
23 7.659
24 2.01
24 2.231
24 2.593
24 2.884
24 3.196
24 3.495
24 4.66
24 6.033
24 5.355
24 7.057
25 2.039
25 2.24
25 2.572
25 2.858
25 3.162
25 3.471
25 4.404
25 5.454
25 5.669
25 5.908
25 6.975
26 2.041
26 2.325
26 2.599
26 2.892
26 3.231
26 3.529
26 4.544
26 5.688
26 5.691
26 6.251
27 2.009
27 2.23
27 2.542
27 2.832
27 3.095
27 3.391
27 4.28
27 5.726
27 5.779
27 6.504
27 7.314
28 2.003
28 2.27
28 2.573
28 2.849
28 3.237
28 3.553
28 4.676
28 6.008
28 6.057
28 7.091
29 2.048
29 2.331
29 2.594
29 2.911
29 3.191
29 3.574
29 4.95
29 6.233
29 5.961
29 6.428
