year curveLowRes0481
0 2.05
0 2.401
0 2.655
0 2.902
0 3.109
0 3.479
0 5.021
0 6.423
0 6.044
0 6.968
1 2.048
1 2.363
1 2.625
1 2.913
1 3.238
1 3.568
1 5.174
1 6.562
1 5.743
1 7.174
2 2.039
2 2.313
2 2.659
2 2.969
2 3.215
2 3.489
2 4.652
2 6.101
2 6.237
2 6.549
3 2.036
3 2.382
3 2.689
3 2.96
3 3.23
3 3.452
3 4.909
3 6.194
3 6.072
3 6.756
4 2.046
4 2.303
4 2.485
4 2.737
4 2.957
4 3.325
4 3.788
4 5.086
4 6.081
4 5.734
4 7.461
5 2.049
5 2.355
5 2.673
5 3.026
5 3.319
5 3.859
5 5.129
5 6.315
5 5.555
5 6.572
6 2.04
6 2.426
6 2.733
6 3.084
6 3.398
6 3.771
6 4.487
6 5.757
6 5.926
6 5.11
7 2.024
7 2.257
7 2.539
7 2.774
7 3.042
7 3.234
7 4.252
7 5.115
7 5.65
7 5.148
7 6.794
8 2.018
8 2.282
8 2.533
8 2.783
8 3.054
8 3.3
8 4.015
8 5.298
8 6.147
8 6.5
8 7.88
9 2.025
9 2.335
9 2.64
9 2.884
9 3.162
9 3.439
9 4.484
9 5.503
9 5.487
9 5.95
10 2.009
10 2.286
10 2.589
10 2.822
10 3.065
10 3.394
10 4.082
10 5.397
10 6.212
10 5.762
10 7.56
11 2.024
11 2.394
11 2.608
11 2.764
11 3.084
11 3.386
11 4.794
11 6.316
11 6.369
11 7.317
12 2.043
12 2.333
12 2.609
12 2.835
12 3.047
12 3.267
12 4.057
12 5.13
12 6.018
12 5.68
12 7.045
13 2.013
13 2.246
13 2.599
13 2.839
13 3.15
13 3.523
13 4.952
13 6.482
13 5.82
13 6.478
14 2.036
14 2.231
14 2.51
14 2.73
14 3.087
14 3.453
14 4.185
14 5.403
14 5.926
14 5.964
15 2.047
15 2.361
15 2.619
15 2.92
15 3.279
15 3.578
15 5.215
15 6.322
15 5.54
15 7.128
16 2.038
16 2.334
16 2.643
16 2.938
16 3.295
16 3.527
16 4.451
16 5.537
16 5.556
16 6.766
17 2.04
17 2.319
17 2.689
17 2.924
17 3.193
17 3.495
17 4.546
17 5.657
17 5.488
17 5.813
18 2.037
18 2.367
18 2.621
18 2.945
18 3.245
18 3.511
18 4.767
18 5.875
18 6.55
18 6.601
19 2.001
19 2.326
19 2.571
19 2.818
19 3.014
19 3.258
19 3.65
19 4.632
19 5.81
19 4.842
19 6.295
20 2.035
20 2.367
20 2.597
20 2.885
20 3.251
20 3.506
20 4.97
20 6.255
20 5.498
20 7.01
21 2.008
21 2.319
21 2.635
21 2.99
21 3.314
21 3.676
21 4.635
21 6.172
21 5.718
21 6.468
22 2.005
22 2.314
22 2.503
22 2.697
22 2.99
22 3.25
22 3.799
22 4.836
22 5.77
