year curveMidRes0471
0 2.034
0 2.08
0 2.097
0 2.161
0 2.198
0 2.268
0 2.336
0 2.386
0 2.442
0 2.491
0 2.531
0 2.599
0 2.674
0 2.685
0 2.743
0 2.799
0 2.886
0 2.957
0 3.037
0 3.087
0 3.145
0 3.175
0 3.208
0 3.256
0 3.298
0 3.331
0 3.39
0 3.463
0 3.499
0 3.559
0 3.6
0 3.968
0 4.395
0 4.781
0 4.875
0 5.195
0 5.362
0 5.65
0 5.797
0 5.912
0 6.208
0 6.408
0 6.756
0 7.152
0 7.212
0 7.258
0 7.063
0 6.732
0 6.647
0 6.523
0 6.202
0 6.205
0 6.542
0 6.748
0 6.901
0 7.015
0 7.27
0 7.298
0 7.475
0 7.557
1 2.044
1 2.098
1 2.131
1 2.164
1 2.233
1 2.278
1 2.287
1 2.346
1 2.425
1 2.461
1 2.507
1 2.57
1 2.622
1 2.684
1 2.707
1 2.73
1 2.813
1 2.881
1 2.944
1 2.974
1 3.034
1 3.094
1 3.123
1 3.15
1 3.179
1 3.234
1 3.289
1 3.338
1 3.387
1 3.426
1 3.602
1 3.86
1 4.207
1 4.565
1 4.906
1 5.145
1 5.27
1 5.542
1 5.699
1 5.918
1 6.12
1 6.349
1 6.528
1 6.559
1 6.58
1 6.411
1 6.204
1 6.01
1 5.896
1 5.884
1 6.201
1 6.507
1 6.678
1 6.889
1 7.199
1 7.462
1 7.608
1 7.802
2 2.014
2 2.069
2 2.128
2 2.139
2 2.154
2 2.196
2 2.244
2 2.308
2 2.4
2 2.475
2 2.549
2 2.594
2 2.679
2 2.718
2 2.797
2 2.841
2 2.849
2 2.913
2 2.922
2 3.01
2 3.061
2 3.12
2 3.179
2 3.216
2 3.259
2 3.337
2 3.358
2 3.395
2 3.414
2 3.446
2 3.501
2 3.592
2 3.857
2 4.075
2 4.201
2 4.462
2 4.63
2 4.954
2 5.297
2 5.518
2 5.767
2 5.927
2 6.045
2 6.073
2 5.824
2 5.528
2 5.345
2 5.243
2 5.259
2 5.546
2 5.799
2 6.068
2 6.279
2 6.409
2 6.757
2 6.922
2 7.011
3 2.002
3 2.039
3 2.077
3 2.084
3 2.137
3 2.185
3 2.215
3 2.254
3 2.309
3 2.39
3 2.451
3 2.541
3 2.606
3 2.663
3 2.716
3 2.773
3 2.823
3 2.892
3 2.914
3 2.955
3 3.034
3 3.083
3 3.137
3 3.165
3 3.233
3 3.279
3 3.32
3 3.394
3 3.416
3 3.449
3 3.536
3 3.574
3 3.775
3 4.163
3 4.483
3 4.554
3 4.911
3 5.263
3 5.542
3 5.71
3 6.03
3 6.424
3 6.608
3 6.668
3 6.941
3 7.098
3 7.023
3 6.762
3 6.612
3 6.452
3 6.234
3 6.355
3 6.612
3 7.003
3 7.168
3 7.431
3 7.76
3 8.176
3 8.528
3 8.663
4 2.028
4 2.096
4 2.177
4 2.24
4 2.262
4 2.294
4 2.377
4 2.4
4 2.455
4 2.467
4 2.538
4 2.58
4 2.618
4 2.688
4 2.714
4 2.803
4 2.836
4 2.85
4 2.936
4 2.972
4 3.032
4 3.045
4 3.088
4 3.127
4 3.153
4 3.205
4 3.268
4 3.358
4 3.409
4 3.494
4 3.711
4 3.991
4 4.358
4 4.452
4 4.614
4 4.945
4 5.163
4 5.444
4 5.812
4 6.158
4 6.239
4 6.404
4 6.759
4 6.605
4 6.455
4 6.189
4 5.946
4 6.054
4 6.49
4 6.686
4 6.949
4 7.196
4 7.447
4 7.476
4 7.643
4 7.834
5 2.01
5 2.023
5 2.068
5 2.112
5 2.182
5 2.229
5 2.26
5 2.308
5 2.36
5 2.439
5 2.536
5 2.558
5 2.582
5 2.605
5 2.641
5 2.677
5 2.766
5 2.832
5 2.873
5 2.888
5 2.957
5 2.998
5 3.058
5 3.065
5 3.069
5 3.101
5 3.147
5 3.194
5 3.279
5 3.343
5 3.42
5 3.592
5 3.799
5 3.866
5 4.143
5 4.309
5 4.475
5 4.764
5 5.031
5 5.155
5 5.385
5 5.63
5 5.781
5 6.005
5 6.008
5 5.976
5 5.689
5 5.524
5 5.484
5 5.202
5 5.405
5 5.686
5 5.986
5 6.201
5 6.479
5 6.758
5 7.042
5 7.348
5 7.434
6 2.021
6 2.086
6 2.105
6 2.18
6 2.221
6 2.226
6 2.316
6 2.354
6 2.39
6 2.422
6 2.435
6 2.487
6 2.511
6 2.592
6 2.638
6 2.682
6 2.707
6 2.735
6 2.819
6 2.886
6 2.972
6 3.017
6 3.083
6 3.125
6 3.163
6 3.211
6 3.262
6 3.271
6 3.362
6 3.396
6 3.452
6 3.719
6 3.934
6 4.193
6 4.364
6 4.67
6 4.986
6 5.187
6 5.42
6 5.52
6 5.704
6 5.847
6 5.983
6 6.196
6 5.951
6 5.602
6 5.195
6 5.011
6 5.148
6 5.414
6 5.562
6 5.896
6 6.033
6 6.289
6 6.524
6 6.567
6 6.728
7 2.035
7 2.062
7 2.112
7 2.162
7 2.241
7 2.283
7 2.329
7 2.373
7 2.429
7 2.5
7 2.527
7 2.586
7 2.654
7 2.694
7 2.745
7 2.793
7 2.809
7 2.836
7 2.875
7 2.907
7 2.957
7 3.054
7 3.08
7 3.153
7 3.214
7 3.256
7 3.3
7 3.317
7 3.394
7 3.426
7 3.501
7 3.771
7 4.141
7 4.36
7 4.584
7 4.932
7 4.977
7 5.073
7 5.218
7 5.372
7 5.624
7 5.862
7 6.039
7 6.463
7 6.661
7 6.499
7 6.354
7 6.117
7 5.898
7 5.711
7 5.72
7 6.056
7 6.393
7 6.534
7 6.729
7 7.169
7 7.267
7 7.614
8 2.001
8 2.066
8 2.097
8 2.122
