year curveMidRes0131
0 2.044
0 2.066
0 2.11
0 2.141
0 2.203
0 2.227
0 2.306
0 2.384
0 2.445
0 2.478
0 2.527
0 2.547
0 2.61
0 2.673
0 2.702
0 2.741
0 2.765
0 2.813
0 2.887
0 2.958
0 3.006
0 3.08
0 3.12
0 3.154
0 3.161
0 3.182
0 3.262
0 3.289
0 3.341
0 3.391
0 3.42
0 3.627
0 3.763
0 3.855
0 4.077
0 4.313
0 4.583
0 4.755
0 4.973
0 5.005
0 5.188
0 5.422
0 5.699
0 5.987
0 5.886
0 5.666
0 5.473
0 5.168
0 4.843
0 4.97
0 5.085
0 5.289
0 5.543
0 5.904
0 5.966
0 6.241
0 6.434
1 2.004
1 2.059
1 2.083
1 2.142
1 2.208
1 2.23
1 2.291
1 2.357
1 2.445
1 2.509
1 2.54
1 2.564
1 2.595
1 2.636
1 2.692
1 2.753
1 2.792
1 2.811
1 2.84
1 2.88
1 2.969
1 3.013
1 3.067
1 3.134
1 3.214
1 3.275
1 3.31
1 3.333
1 3.384
1 3.446
1 3.496
1 3.772
1 3.865
1 4.049
1 4.232
1 4.408
1 4.653
1 4.936
1 5.13
1 5.508
1 5.809
1 6.157
1 6.37
1 6.785
1 7.006
1 6.985
1 6.754
1 6.542
1 6.453
1 6.212
1 6.058
1 6.284
1 6.496
1 6.683
1 6.957
1 7.287
1 7.688
1 8.029
2 2.031
2 2.083
2 2.135
2 2.211
2 2.293
2 2.357
2 2.382
2 2.404
2 2.415
2 2.438
2 2.468
2 2.518
2 2.558
2 2.58
2 2.613
2 2.667
2 2.692
2 2.771
2 2.833
2 2.918
2 2.963
2 3.021
2 3.057
2 3.103
2 3.158
2 3.172
2 3.225
2 3.299
2 3.368
2 3.436
2 3.517
2 3.559
2 3.628
2 3.704
2 3.837
2 3.902
2 4.13
2 4.196
2 4.491
2 4.873
2 5.183
2 5.413
2 5.812
2 6.04
2 6.143
2 6.334
2 6.28
2 6.091
2 5.761
2 5.597
2 5.728
2 5.836
2 6.143
2 6.374
2 6.679
2 7.022
2 7.261
2 7.282
2 7.359
3 2.03
3 2.076
3 2.131
3 2.163
3 2.209
3 2.222
3 2.26
3 2.272
3 2.313
3 2.401
3 2.488
3 2.539
3 2.589
3 2.624
3 2.705
3 2.783
3 2.852
3 2.92
3 2.974
3 3.053
3 3.098
3 3.161
3 3.219
3 3.267
3 3.313
3 3.363
3 3.375
3 3.424
3 3.492
3 3.5
3 3.532
3 3.57
3 3.705
3 3.838
3 3.939
3 4.144
3 4.455
3 4.468
3 4.676
3 4.919
3 5.051
3 5.28
3 5.387
3 5.677
3 5.937
3 5.974
3 5.842
3 5.817
3 5.578
3 5.42
3 5.452
3 5.684
3 5.896
3 6.393
3 6.676
3 7.027
3 7.074
3 7.238
3 7.256
4 2.018
4 2.111
4 2.144
4 2.21
4 2.248
4 2.283
4 2.311
4 2.352
4 2.438
4 2.448
4 2.517
4 2.538
4 2.598
4 2.645
4 2.692
4 2.75
4 2.82
4 2.861
4 2.889
4 2.931
4 2.981
4 3.019
4 3.068
4 3.12
4 3.205
4 3.23
4 3.241
4 3.304
4 3.354
4 3.411
4 3.643
4 4.021
4 4.295
4 4.684
4 4.973
4 5.299
4 5.671
4 5.877
4 6.108
4 6.355
4 6.52
4 6.798
4 7.03
4 7.175
4 7.04
4 6.705
4 6.565
4 6.226
4 5.86
4 6.034
4 6.224
4 6.521
4 6.77
4 7.122
4 7.518
4 7.747
4 8.112
4 8.288
5 2.024
5 2.089
5 2.16
5 2.207
5 2.235
5 2.319
5 2.376
5 2.463
5 2.529
5 2.552
5 2.619
5 2.68
5 2.713
5 2.765
5 2.855
5 2.896
5 2.937
5 2.992
5 3.045
5 3.097
5 3.116
5 3.155
5 3.214
5 3.278
5 3.336
5 3.366
5 3.443
5 3.499
5 3.551
5 3.621
5 3.681
5 3.758
5 3.81
5 4.129
5 4.451
5 4.613
5 4.796
5 4.85
5 5.098
5 5.414
5 5.794
5 5.877
5 5.955
5 6.214
5 6.517
5 6.725
5 6.698
5 6.492
5 6.217
5 6.14
5 5.997
5 6.183
5 6.523
5 6.845
5 7.151
5 7.575
5 7.962
5 8.179
5 8.234
6 2.026
6 2.067
6 2.143
6 2.213
6 2.233
6 2.301
6 2.339
6 2.407
6 2.415
6 2.479
6 2.517
6 2.561
6 2.633
6 2.71
6 2.725
6 2.798
6 2.836
6 2.914
6 2.951
6 2.968
6 3.02
6 3.071
6 3.114
6 3.168
6 3.216
6 3.263
6 3.353
6 3.415
6 3.426
6 3.461
6 3.504
6 3.751
6 4.058
6 4.224
6 4.509
6 4.811
6 5.038
6 5.325
6 5.577
6 5.789
6 5.99
6 6.208
6 6.444
6 6.448
6 6.698
6 6.528
6 6.378
6 6.179
6 6.129
6 6.256
6 6.575
6 6.949
6 7.333
6 7.673
6 8.06
6 8.295
6 8.504
7 2.017
7 2.104
7 2.173
7 2.268
7 2.353
7 2.412
7 2.439
7 2.531
7 2.6
7 2.624
7 2.701
7 2.751
7 2.804
7 2.849
7 2.929
7 2.936
7 2.949
7 2.974
7 3.04
7 3.07
7 3.158
7 3.206
7 3.246
7 3.325
7 3.384
7 3.432
7 3.481
7 3.51
7 3.541
7 3.586
7 3.867
7 4.03
7 4.231
7 4.45
7 4.68
7 4.788
7 5.187
7 5.441
7 5.679
7 5.865
7 6.053
7 6.359
7 6.775
7 6.662
7 6.276
7 5.955
7 5.755
7 5.432
7 5.657
7 6.016
7 6.484
7 6.689
7 6.828
7 7.091
7 7.51
7 7.807
8 2.04
8 2.104
8 2.15
8 2.2
8 2.228
8 2.306
8 2.342
8 2.421
8 2.441
8 2.458
8 2.515
8 2.576
8 2.612
8 2.641
8 2.668
8 2.701
8 2.76
8 2.79
8 2.859
8 2.89
8 2.94
8 2.994
8 3.024
8 3.053
8 3.064
8 3.123
8 3.137
8 3.176
8 3.244
8 3.334
8 3.372
8 3.422
8 3.822
8 4.176
8 4.385
8 4.515
8 4.685
8 4.834
8 5.227
8 5.339
8 5.634
8 5.849
8 5.974
8 6.198
8 6.178
8 6.09
8 5.967
8 5.599
8 5.345
8 5.674
8 6.1
8 6.585
8 6.836
8 7.004
8 7.128
8 7.554
8 7.802
8 7.866
9 2.047
9 2.091
9 2.125
9 2.173
9 2.186
9 2.197
9 2.271
9 2.339
9 2.397
9 2.435
9 2.517
9 2.547
9 2.631
9 2.678
9 2.722
9 2.79
9 2.86
9 2.875
9 2.926
9 2.984
9 3.065
9 3.101
9 3.154
9 3.197
9 3.27
9 3.344
9 3.365
9 3.439
9 3.457
9 3.514
9 3.584
9 3.746
9 3.977
9 4.335
9 4.507
9 4.597
9 4.767
9 4.907
9 5.148
9 5.382
9 5.47
9 5.537
9 5.8
9 5.849
9 5.635
9 5.576
9 5.346
9 5.245
9 5.525
9 5.997
9 6.402
9 6.694
9 6.758
9 6.969
9 7.315
9 7.592
9 7.801
10 2.045
10 2.109
10 2.18
10 2.245
10 2.291
10 2.371
10 2.417
10 2.486
10 2.551
10 2.632
10 2.662
10 2.719
10 2.794
10 2.854
10 2.899
10 2.958
10 3.05
10 3.071
10 3.107
10 3.179
10 3.2
10 3.233
10 3.289
10 3.355
10 3.388
10 3.46
10 3.474
10 3.513
10 3.56
10 3.638
10 3.695
10 3.812
10 3.888
10 4.032
10 4.322
10 4.406
10 4.789
10 5.003
10 5.305
10 5.694
10 5.786
10 5.971
10 6.209
10 6.237
10 6.249
10 6.247
10 5.981
10 5.678
10 5.301
10 5.107
10 4.964
10 5.137
10 5.453
10 5.622
10 6.079
10 6.428
10 6.601
10 6.886
10 7.201
11 2.024
11 2.091
11 2.156
11 2.202
11 2.243
11 2.268
11 2.317
11 2.344
11 2.405
11 2.434
11 2.492
11 2.547
11 2.611
11 2.646
11 2.68
11 2.739
11 2.802
11 2.842
11 2.883
11 2.934
11 2.995
11 3.082
11 3.128
11 3.151
11 3.212
11 3.301
11 3.333
11 3.389
11 3.453
11 3.532
11 3.612
11 3.669
11 3.697
11 4.084
11 4.217
11 4.359
11 4.66
11 4.771
11 4.894
11 4.953
11 5.114
11 5.328
11 5.633
11 5.916
11 6.2
11 6.347
11 6.548
11 6.4
11 6.059
11 5.895
11 5.637
11 5.311
11 5.343
11 5.528
11 5.967
11 6.092
11 6.464
11 6.707
11 6.796
11 7.042
12 2.005
12 2.043
12 2.119
12 2.165
12 2.252
12 2.282
12 2.351
12 2.415
12 2.445
12 2.495
12 2.536
12 2.6
12 2.661
12 2.701
12 2.71
12 2.714
12 2.737
12 2.745
12 2.767
12 2.787
12 2.812
12 2.861
12 2.898
12 2.944
12 3.006
12 3.058
