year curveMidRes0311
0 2.029
0 2.049
0 2.092
0 2.137
0 2.181
0 2.251
0 2.295
0 2.354
0 2.422
0 2.48
0 2.565
0 2.629
0 2.675
0 2.694
0 2.735
0 2.772
0 2.811
0 2.855
0 2.9
0 2.944
0 3.007
0 3.038
0 3.097
0 3.143
0 3.234
0 3.31
0 3.375
0 3.423
0 3.506
0 3.531
0 3.745
0 4.091
0 4.158
0 4.274
0 4.514
0 4.684
0 5.093
0 5.286
0 5.467
0 5.829
0 6.025
0 6.307
0 6.696
0 6.943
0 6.976
0 6.708
0 6.404
0 6.283
0 6.078
0 5.889
0 6.146
0 6.396
0 6.681
0 7.003
0 7.175
0 7.439
0 7.685
0 7.801
0 8.002
1 2.019
1 2.045
1 2.069
1 2.119
1 2.194
1 2.24
1 2.295
1 2.358
1 2.397
1 2.435
1 2.494
1 2.506
1 2.587
1 2.643
1 2.724
1 2.773
1 2.808
1 2.852
1 2.909
1 2.986
1 3.04
1 3.098
1 3.157
1 3.21
1 3.265
1 3.304
1 3.399
1 3.447
1 3.493
1 3.521
1 3.54
1 3.753
1 3.945
1 4.243
1 4.425
1 4.731
1 5.073
1 5.217
1 5.365
1 5.736
1 5.973
1 6.292
1 6.583
1 6.678
1 6.262
1 6.124
1 5.851
1 5.539
1 5.519
1 5.747
1 6.089
1 6.2
1 6.636
1 6.919
1 7.28
1 7.509
1 7.543
2 2.013
2 2.044
2 2.081
2 2.142
2 2.196
2 2.215
2 2.222
2 2.275
2 2.321
2 2.384
2 2.416
2 2.474
2 2.547
2 2.602
2 2.659
2 2.675
2 2.729
2 2.787
2 2.858
2 2.924
2 2.959
2 3.037
2 3.076
2 3.158
2 3.234
2 3.256
2 3.328
2 3.374
2 3.424
2 3.465
2 3.501
2 3.55
2 3.691
2 3.912
2 4.012
2 4.412
2 4.776
2 5.17
2 5.24
2 5.343
2 5.422
2 5.72
2 6.012
2 6.232
2 6.429
2 6.654
2 6.661
2 6.483
2 6.363
2 6.128
2 5.763
2 6.079
2 6.564
2 6.922
2 7.23
2 7.365
2 7.678
2 7.982
2 8.254
2 8.409
3 2.018
3 2.062
3 2.123
3 2.147
3 2.166
3 2.186
3 2.248
3 2.328
3 2.383
3 2.446
3 2.486
3 2.53
3 2.548
3 2.564
3 2.617
3 2.642
3 2.676
3 2.709
3 2.754
3 2.799
3 2.836
3 2.886
3 2.964
3 3.02
3 3.052
3 3.136
3 3.23
3 3.264
3 3.331
3 3.372
3 3.588
3 3.91
3 4.16
3 4.396
3 4.677
3 4.853
3 5.075
3 5.226
3 5.567
3 5.687
3 6.008
3 6.275
3 6.617
3 6.304
3 6.193
3 5.981
3 5.738
3 5.886
3 5.98
3 6.427
3 6.776
3 7.105
3 7.224
3 7.329
3 7.618
3 7.856
4 2.05
4 2.061
4 2.106
4 2.171
4 2.237
4 2.265
4 2.304
4 2.349
4 2.369
4 2.436
4 2.464
4 2.528
4 2.531
4 2.591
4 2.65
4 2.666
4 2.705
4 2.739
4 2.783
4 2.829
4 2.872
4 2.891
4 2.918
4 2.958
4 2.999
4 3.061
4 3.112
4 3.176
4 3.249
4 3.314
4 3.379
4 3.416
4 3.729
4 4.019
4 4.352
4 4.526
4 4.747
4 4.893
4 4.99
4 5.062
4 5.176
4 5.489
4 5.689
4 5.914
4 5.707
4 5.459
4 5.355
4 5.26
4 5.537
4 5.956
4 6.076
4 6.216
4 6.5
4 6.914
4 7.217
4 7.569
4 7.827
5 2.048
5 2.135
5 2.188
5 2.222
5 2.27
5 2.331
5 2.377
5 2.424
5 2.445
5 2.502
5 2.563
5 2.582
5 2.614
5 2.672
5 2.708
5 2.751
5 2.784
5 2.816
5 2.873
5 2.886
5 2.921
5 2.995
5 3.02
5 3.073
5 3.143
5 3.211
5 3.228
5 3.301
5 3.374
5 3.41
5 3.455
5 3.513
5 3.728
5 3.795
5 4.096
5 4.176
5 4.486
5 4.831
5 4.973
5 5.356
5 5.542
5 5.714
5 5.781
5 5.992
5 6.034
5 6.069
5 5.872
5 5.609
5 5.388
5 5.167
5 5.417
5 5.602
5 5.794
5 6.131
5 6.539
5 6.921
5 7.033
5 7.217
5 7.262
6 2.048
6 2.115
6 2.16
6 2.232
6 2.262
6 2.354
6 2.413
6 2.443
6 2.473
6 2.523
6 2.599
6 2.675
6 2.7
6 2.76
6 2.843
6 2.877
6 2.904
6 2.95
6 2.989
6 3.02
6 3.054
6 3.11
6 3.171
6 3.211
6 3.257
6 3.317
6 3.372
6 3.414
6 3.479
6 3.544
6 3.584
6 3.598
6 3.676
6 3.784
6 3.99
6 4.055
6 4.223
6 4.42
6 4.767
6 4.858
6 4.882
6 5.129
6 5.329
6 5.568
6 5.49
6 5.258
6 5.109
6 4.986
6 4.896
6 5.258
6 5.572
6 5.96
6 6.191
6 6.426
6 6.593
6 6.907
6 7.118
7 2.007
7 2.056
7 2.078
7 2.13
7 2.15
7 2.179
7 2.242
7 2.266
7 2.331
7 2.387
7 2.432
7 2.521
7 2.594
7 2.652
7 2.677
7 2.727
7 2.807
7 2.873
7 2.928
7 2.965
7 2.99
7 3.049
7 3.12
7 3.159
7 3.205
7 3.28
7 3.298
7 3.359
7 3.395
7 3.465
7 3.553
7 3.579
7 3.732
7 3.914
7 4.142
7 4.292
7 4.546
7 4.678
7 4.72
7 4.953
7 5.184
7 5.566
7 5.791
7 6.173
7 6.279
7 6.041
7 5.894
7 5.653
7 5.472
7 5.357
7 5.57
7 5.838
7 6.022
7 6.282
7 6.619
7 6.982
7 7.303
7 7.555
8 2.0
8 2.061
8 2.102
8 2.154
8 2.201
8 2.238
8 2.275
8 2.355
8 2.406
8 2.444
8 2.482
8 2.508
8 2.567
8 2.611
8 2.66
8 2.74
8 2.782
8 2.835
8 2.887
8 2.895
8 2.938
8 2.976
8 3.006
8 3.071
8 3.122
8 3.187
8 3.217
8 3.26
8 3.338
8 3.413
8 3.482
8 3.51
8 3.694
8 3.865
8 4.046
8 4.092
8 4.206
8 4.487
8 4.691
8 4.991
8 5.248
8 5.382
8 5.601
8 5.716
8 5.796
8 5.926
8 5.734
8 5.43
8 5.053
8 4.77
8 4.742
8 5.175
8 5.495
8 5.852
8 6.039
8 6.277
8 6.569
8 6.716
9 2.027
9 2.072
9 2.109
9 2.174
9 2.194
9 2.234
9 2.272
9 2.306
9 2.317
9 2.402
9 2.456
9 2.488
9 2.544
9 2.612
9 2.618
9 2.67
9 2.72
9 2.76
9 2.827
9 2.876
9 2.894
9 2.922
9 3.006
9 3.08
9 3.139
9 3.189
9 3.258
9 3.31
9 3.327
9 3.358
9 3.508
9 3.543
9 3.609
9 3.734
9 3.937
9 4.137
9 4.312
9 4.708
9 5.069
9 5.399
9 5.581
9 5.768
9 5.901
9 6.06
9 6.004
9 5.893
9 5.577
9 5.346
9 5.217
9 5.341
9 5.387
9 5.614
9 6.014
9 6.122
9 6.188
9 6.408
9 6.648
9 6.708
10 2.041
10 2.087
10 2.167
10 2.248
10 2.312
10 2.334
10 2.359
10 2.427
10 2.474
10 2.515
10 2.587
10 2.623
10 2.689
10 2.7
10 2.788
10 2.84
10 2.89
10 2.929
10 2.953
10 2.975
10 3.014
10 3.067
10 3.1
10 3.145
10 3.173
10 3.246
10 3.282
10 3.337
10 3.378
10 3.399
10 3.428
10 3.478
10 3.71
10 3.853
10 4.138
10 4.272
10 4.464
10 4.621
10 4.881
10 5.244
10 5.316
10 5.472
10 5.661
10 5.952
10 5.966
10 5.823
10 5.605
10 5.503
10 5.324
10 5.321
10 5.406
10 5.617
10 5.749
10 6.044
10 6.281
10 6.619
10 6.896
11 2.02
11 2.085
11 2.096
11 2.129
11 2.188
11 2.221
11 2.271
11 2.278
11 2.324
11 2.35
11 2.404
11 2.48
11 2.531
11 2.562
11 2.599
11 2.674
11 2.708
11 2.789
11 2.821
11 2.844
11 2.891
11 2.945
11 2.988
11 3.03
11 3.047
11 3.049
11 3.141
11 3.167
11 3.241
11 3.266
11 3.338
11 3.495
11 3.686
11 4.042
11 4.33
11 4.445
11 4.68
11 4.765
11 5.123
11 5.266
11 5.519
11 5.773
11 5.846
11 5.899
11 5.607
11 5.343
11 5.084
11 4.983
11 5.342
11 5.638
11 5.886
11 6.273
11 6.675
11 7.087
11 7.233
11 7.507
11 7.564
12 2.001
12 2.075
12 2.163
12 2.207
12 2.266
12 2.315
12 2.338
12 2.399
12 2.459
12 2.501
12 2.537
12 2.59
12 2.665
12 2.709
12 2.788
12 2.832
12 2.866
12 2.892
12 2.948
12 3.0
12 3.062
12 3.112
12 3.18
12 3.244
12 3.313
12 3.392
12 3.436
12 3.456
12 3.486
12 3.503
12 3.532
12 3.706
12 3.773
12 4.027
12 4.218
12 4.466
12 4.841
12 5.116
12 5.338
12 5.699
12 6.002
12 6.228
12 6.405
12 6.653
12 6.842
12 6.988
12 6.89
12 6.56
12 6.341
12 6.175
12 6.013
12 6.109
12 6.382
12 6.571
12 6.891
12 7.22
